trial,label,result,duration_s,cube_x,cube_y,cube_z,drop_x,drop_y,drop_z,start_x,start_y,start_z,dist_start_to_cube,dist_start_to_drop,phase_approach_s,phase_grip_s,phase_carry_s,phase_place_s
1,Transport 1,success,27.83,0.7046,-0.1668,0.9389,0.7168,-0.1119,1.1769,0.6537,-0.0224,1.04,0.1835,0.1753,17.072,1.415,8.472,1.03
2,Transport 2,success,4.414,0.6987,-0.0296,1.2206,0.5149,-0.3284,1.235,0.732,-0.1139,1.1667,0.1054,0.3127,0.939,0.993,1.749,0.735
3,Transport 3,success,5.049,0.6545,-0.2378,0.8876,0.5358,-0.3429,1.031,0.4943,-0.3303,1.2191,0.3797,0.193,2.05,0.474,1.253,1.273
4,Transport 4,success,7.103,0.7413,-0.0492,0.936,0.6928,-0.1488,0.9513,0.5331,-0.3453,1.031,0.3742,0.2655,4.848,0.914,0.799,0.546
5,Transport 5,success,6.836,0.644,-0.1694,0.8155,0.7528,-0.0811,0.985,0.675,-0.1395,0.943,0.1346,0.106,1.547,0.903,3.799,0.59
6,Transport 6,success,7.135,0.5363,-0.3753,0.9371,0.4991,-0.3641,0.8848,0.7696,-0.0649,0.9848,0.3912,0.4156,2.042,0.545,3.784,0.761
7,Transport 7,success,21.751,0.5074,-0.2908,1.2475,0.6657,-0.2252,1.1484,0.5447,-0.3708,0.8596,0.3979,0.3453,15.307,0.808,4.6,1.04
8,Transport 8,success,5.137,0.6492,-0.1891,1.2359,0.5872,-0.1895,1.2759,0.676,-0.2218,1.1444,0.1008,0.162,2.957,0.789,0.526,0.866
9,Transport 9,success,11.223,0.7179,-0.204,1.0462,0.5083,-0.3378,0.9277,0.5832,-0.1702,1.2594,0.2545,0.3791,1.994,3.005,5.839,0.384
10,Transport 10,success,10.294,0.4981,-0.2473,1.323,0.6099,-0.2099,0.8588,0.5353,-0.3734,0.936,0.4087,0.1955,2.382,1.162,6.108,0.643
